job_id,path_id,degrees,minYears,experienceType,graduation,graduationYears,evidence
affirm-greenhouse-7822387003,affirm-greenhouse-7822387003-1,[],,not stated,Not stated,[],The source contains a 2-year experience reference; its required/preferred status and degree-specific alternatives need confirmation.
ai2-greenhouse-7899565,ai2-greenhouse-7899565-1,"[""Bachelor""]",2,industry,Not stated,[],JD requires 2+ years in agentic and ML training/evaluation/inference infrastructure.
thealleninstitute-greenhouse-7723570,thealleninstitute-greenhouse-7723570-1,[],,not stated,Not stated,[],No numeric experience floor was recognized by the automated screen. This does not establish a zero-experience pathway.
thealleninstitute-greenhouse-7848623,thealleninstitute-greenhouse-7848623-1,[],,not stated,Not stated,[],No numeric experience floor was recognized by the automated screen. This does not establish a zero-experience pathway.
aida-ashby-7e32058d-9c06-4394-ba2f-aa8628eeb838,aida-ashby-7e32058d-9c06-4394-ba2f-aa8628eeb838-1,[],,not stated,Not stated,[],No numeric experience floor was recognized by the automated screen. This does not establish a zero-experience pathway.
airbnb-greenhouse-7708224,airbnb-greenhouse-7708224-1,[],,not stated,Not stated,[],The source contains a 2-year experience reference; its required/preferred status and degree-specific alternatives need confirmation.
anthropic-greenhouse-5021015008,anthropic-greenhouse-5021015008-1,[],,not stated,Not stated,[],No numeric experience floor was recognized by the automated screen. This does not establish a zero-experience pathway.
anthropic-greenhouse-5186067008,anthropic-greenhouse-5186067008-1,[],,not stated,Not stated,[],No numeric experience floor was recognized by the automated screen. This does not establish a zero-experience pathway.
anthropic-greenhouse-5364804008,anthropic-greenhouse-5364804008-1,[],,not stated,Not stated,[],No numeric experience floor was recognized by the automated screen. This does not establish a zero-experience pathway.
anthropic-greenhouse-5418323008,anthropic-greenhouse-5418323008-1,[],,not stated,Not stated,[],No numeric experience floor was recognized by the automated screen. This does not establish a zero-experience pathway.
anthropic-greenhouse-5224564008,anthropic-greenhouse-5224564008-1,[],,not stated,Not stated,[],No numeric experience floor was recognized by the automated screen. This does not establish a zero-experience pathway.
anthropic-greenhouse-4951814008,anthropic-greenhouse-4951814008-1,[],,not stated,Not stated,[],No numeric experience floor was recognized by the automated screen. This does not establish a zero-experience pathway.
anthropic-greenhouse-4631822008,anthropic-greenhouse-4631822008-1,[],,not stated,Not stated,[],No numeric experience floor was recognized by the automated screen. This does not establish a zero-experience pathway.
anthropic-greenhouse-5231612008,anthropic-greenhouse-5231612008-1,[],,not stated,Not stated,[],No numeric experience floor was recognized by the automated screen. This does not establish a zero-experience pathway.
anthropic-greenhouse-5254364008,anthropic-greenhouse-5254364008-1,[],,not stated,Not stated,[],No numeric experience floor was recognized by the automated screen. This does not establish a zero-experience pathway.
anthropic-greenhouse-5285246008,anthropic-greenhouse-5285246008-1,[],,not stated,Not stated,[],No numeric experience floor was recognized by the automated screen. This does not establish a zero-experience pathway.
anthropic-greenhouse-5025624008,anthropic-greenhouse-5025624008-1,[],,not stated,Not stated,[],No numeric experience floor was recognized by the automated screen. This does not establish a zero-experience pathway.
anthropic-greenhouse-5271380008,anthropic-greenhouse-5271380008-1,[],,not stated,Not stated,[],No numeric experience floor was recognized by the automated screen. This does not establish a zero-experience pathway.
anthropic-greenhouse-4017331008,anthropic-greenhouse-4017331008-1,[],,not stated,Not stated,[],No numeric experience floor was recognized by the automated screen. This does not establish a zero-experience pathway.
anthropic-greenhouse-4613568008,anthropic-greenhouse-4613568008-1,[],,not stated,Not stated,[],No numeric experience floor was recognized by the automated screen. This does not establish a zero-experience pathway.
anthropic-greenhouse-5198255008,anthropic-greenhouse-5198255008-1,[],,not stated,Not stated,[],No numeric experience floor was recognized by the automated screen. This does not establish a zero-experience pathway.
anthropic-greenhouse-5160330008,anthropic-greenhouse-5160330008-1,[],,not stated,Not stated,[],No numeric experience floor was recognized by the automated screen. This does not establish a zero-experience pathway.
anthropic-greenhouse-4938432008,anthropic-greenhouse-4938432008-1,[],,not stated,Not stated,[],No numeric experience floor was recognized by the automated screen. This does not establish a zero-experience pathway.
anthropic-greenhouse-4613592008,anthropic-greenhouse-4613592008-1,[],,not stated,Not stated,[],No numeric experience floor was recognized by the automated screen. This does not establish a zero-experience pathway.
anthropic-greenhouse-5416882008,anthropic-greenhouse-5416882008-1,[],,not stated,Not stated,[],No numeric experience floor was recognized by the automated screen. This does not establish a zero-experience pathway.
anthropic-greenhouse-5061517008,anthropic-greenhouse-5061517008-1,[],,not stated,Not stated,[],No numeric experience floor was recognized by the automated screen. This does not establish a zero-experience pathway.
anthropic-greenhouse-4616971008,anthropic-greenhouse-4616971008-1,[],,not stated,Not stated,[],No numeric experience floor was recognized by the automated screen. This does not establish a zero-experience pathway.
anthropic-greenhouse-4980427008,anthropic-greenhouse-4980427008-1,[],,not stated,Not stated,[],No numeric experience floor was recognized by the automated screen. This does not establish a zero-experience pathway.
anthropic-greenhouse-5357739008,anthropic-greenhouse-5357739008-1,[],,not stated,Not stated,[],No numeric experience floor was recognized by the automated screen. This does not establish a zero-experience pathway.
anyscale-ashby-1cf38233-8aa0-47f8-9d85-65ce27bc3047,anyscale-ashby-1cf38233-8aa0-47f8-9d85-65ce27bc3047-1,"[""Bachelor"",""Master"",""PhD""]",,not stated,Not stated,[],Distributed LLM inference on Ray/vLLM with no numeric minimum stated; verify experience level.
baseten-ashby-db6477fc-111a-4340-bf00-525fe023e6f3,baseten-ashby-db6477fc-111a-4340-bf00-525fe023e6f3-1,[],,not stated,Not stated,[],The source contains a 2-year experience reference; its required/preferred status and degree-specific alternatives need confirmation.
baseten-ashby-68328a94-f785-463b-a3d7-b0dfc11839b5,baseten-ashby-68328a94-f785-463b-a3d7-b0dfc11839b5-1,[],,not stated,Not stated,[],No numeric experience floor was recognized by the automated screen. This does not establish a zero-experience pathway.
baseten-ashby-7c9d2bb0-ac03-4a3c-86c3-cf720cd314e8,baseten-ashby-7c9d2bb0-ac03-4a3c-86c3-cf720cd314e8-1,[],,not stated,Not stated,[],No numeric experience floor was recognized by the automated screen. This does not establish a zero-experience pathway.
baseten-ashby-c8701794-bdc1-4932-bffa-a444ce57ed73,baseten-ashby-c8701794-bdc1-4932-bffa-a444ce57ed73-1,[],,not stated,Not stated,[],No numeric experience floor was recognized by the automated screen. This does not establish a zero-experience pathway.
baseten-ashby-fc6e5f2e-eb2d-4a6c-8a51-8422e8662bde,baseten-ashby-fc6e5f2e-eb2d-4a6c-8a51-8422e8662bde-1,[],,not stated,Not stated,[],No numeric experience floor was recognized by the automated screen. This does not establish a zero-experience pathway.
baseten-ashby-6e396eb7-acb3-436a-89ec-05e755c477f2,baseten-ashby-6e396eb7-acb3-436a-89ec-05e755c477f2-1,[],,not stated,Not stated,[],No numeric experience floor was recognized by the automated screen. This does not establish a zero-experience pathway.
brex-greenhouse-8606845002,brex-greenhouse-8606845002-1,[],,not stated,Not stated,[],No numeric experience floor was recognized by the automated screen. This does not establish a zero-experience pathway.
cartesia-ashby-eeac6a77-eac5-4d72-b3d4-97d53cac4c89,cartesia-ashby-eeac6a77-eac5-4d72-b3d4-97d53cac4c89-1,[],,not stated,Not stated,[],No numeric experience floor was recognized by the automated screen. This does not establish a zero-experience pathway.
cartesia-ashby-bd9d6688-5486-470f-a273-20874a44f107,cartesia-ashby-bd9d6688-5486-470f-a273-20874a44f107-1,[],,not stated,Not stated,[],No numeric experience floor was recognized by the automated screen. This does not establish a zero-experience pathway.
cartesia-ashby-33a8d2ef-ccc1-446a-8fd3-9c21cd211900,cartesia-ashby-33a8d2ef-ccc1-446a-8fd3-9c21cd211900-1,[],,not stated,Not stated,[],No numeric experience floor was recognized by the automated screen. This does not establish a zero-experience pathway.
cerebras-ashby-987d7f64-c957-4c8f-b89d-2f9d64738507,cerebras-ashby-987d7f64-c957-4c8f-b89d-2f9d64738507-1,"[""Bachelor"",""Master""]",0,not stated,Not stated,[],Title says New College Grad; full-time in-office CoDesign/NextGen role requires BS/MS and CPU/GPU simulation exposure.
